subject_id,activity_code,num_rows
1600,A,3603
1600,B,3604
1600,C,3604
1600,D,3604
1600,E,3604
1600,F,3604
1600,G,3603
1600,H,3603
1600,I,3604
1600,J,3603
1600,K,3604
1600,L,3603
1600,M,3603
1600,O,3603
1600,P,3603
1600,Q,3604
1600,R,3604
1600,S,4175
1601,A,3601
1601,B,3602
1601,C,3601
1601,D,3601
1601,E,3602
1601,F,3601
1601,G,3602
1601,H,3602
1601,I,3602
1601,J,3602
1601,K,3601
1601,L,3601
1601,M,3603
1601,O,3602
1601,P,3602
1601,Q,3601
1601,R,3601
1601,S,3601
1602,A,3603
1602,B,3603
1602,C,3603
1602,D,3603
1602,E,3699
1602,F,3603
1602,G,3603
1602,H,3603
1602,I,3603
1602,J,3603
1602,K,3603
1602,L,3603
1602,M,3603
1602,O,3603
1602,P,3603
1602,Q,3603
1602,R,3603
1602,S,3603
1603,A,3603
1603,B,3602
1603,C,3602
1603,D,3603
1603,E,3601
1603,F,3601
1603,G,3602
1603,H,3602
1603,I,3601
1603,J,3619
1603,K,3602
1603,L,3602
1603,M,3602
1603,O,3602
1603,P,3601
1603,Q,3601
1603,R,3602
1603,S,3602
1604,A,3603
1604,B,3603
1604,C,3604
1604,D,3603
1604,E,3603
1604,F,3617
1604,G,3603
1604,H,3603
1604,I,3604
1604,J,3603
1604,K,3603
1604,L,3603
1604,M,3603
1604,O,3603
1604,P,3603
1604,Q,3603
1604,R,3603
1604,S,3603
1605,A,3603
1605,B,3603
1605,C,3602
1605,D,3602
1605,E,3602
1605,F,3602
1605,G,3615
1605,H,3602
1605,I,4935
1605,J,3603
1605,K,3601
1605,L,3602
1605,M,3602
1605,O,3603
1605,P,3602
1605,Q,3602
1605,R,3603
1605,S,3603
1606,A,3603
1606,B,3603
1606,C,3603
1606,D,3603
1606,E,3603
1606,F,3603
1606,G,3603
1606,H,3603
1606,I,3603
1606,J,3603
1606,K,3603
1606,L,3603
1606,M,3603
1606,O,3603
1606,P,3603
1606,Q,3603
1606,R,3603
1606,S,3603
1607,A,3603
1607,B,3602
1607,C,3602
1607,D,3601
1607,E,3602
1607,F,3602
1607,G,3601
1607,H,3602
1607,I,3602
1607,J,3602
1607,K,3602
1607,L,4577
1607,M,3602
1607,O,3602
1607,P,3604
1607,Q,3602
1607,R,3601
1607,S,3601
1608,A,3603
1608,B,3603
1608,C,3603
1608,D,3603
1608,E,3603
1608,F,3603
1608,G,3603
1608,H,3609
1608,I,3603
1608,J,6899
1608,K,3603
1608,L,3603
1608,M,3603
1608,O,3603
1608,P,3603
1608,Q,3603
1608,R,3603
1608,S,3603
1609,A,3603
1609,B,3603
1609,C,3603
1609,D,3603
1609,E,3603
1609,F,3603
1609,G,3603
1609,H,3603
1609,I,3603
1609,J,3603
1609,K,6070
1609,L,3603
1609,M,4048
1609,O,4872
1609,P,4191
1609,Q,3603
1609,R,3603
1609,S,3603
1610,A,3603
1610,B,3603
1610,C,3603
1610,D,3603
1610,E,3603
1610,F,3603
1610,G,3603
1610,H,3603
1610,I,3603
1610,J,3603
1610,K,3603
1610,L,3603
1610,M,3619
1610,O,3603
1610,P,3603
1610,Q,3612
1610,R,3603
1610,S,3603
1611,A,3603
1611,B,3604
1611,C,3603
1611,D,3603
1611,E,3603
1611,F,3603
1611,G,3603
1611,H,3603
1611,I,3603
1611,J,3603
1611,K,3603
1611,L,3603
1611,M,3603
1611,O,3603
1611,P,3603
1611,Q,3603
1611,R,3603
1611,S,3603
1612,A,3603
1612,B,3603
1612,C,3603
1612,D,3603
1612,E,3603
1612,F,3603
1612,G,3603
1612,H,3603
1612,I,3603
1612,J,3618
1612,K,3603
1612,L,3984
1612,M,3603
1612,O,3603
1612,P,3603
1612,Q,3603
1612,R,3603
1612,S,3603
1613,A,3600
1613,B,3601
1613,C,3602
1613,D,3602
1613,E,3601
1613,F,3601
1613,G,3602
1613,H,3601
1613,I,3602
1613,J,3602
1613,K,3602
1613,L,3602
1613,M,3603
1613,O,3611
1613,P,3601
1613,Q,3601
1613,R,3601
1613,S,3619
1614,A,3601
1614,B,3600
1614,C,3616
1614,D,3601
1614,E,3601
1614,F,3601
1614,G,3601
1614,H,3601
1614,I,3601
1614,J,3601
1614,K,3601
1614,L,3601
1614,M,3601
1614,O,3601
1614,P,3600
1614,Q,3601
1614,R,3601
1614,S,3601
1615,A,3603
1615,B,3603
1615,C,3603
1615,D,3603
1615,E,3603
1615,F,3603
1615,G,3603
1615,H,3603
1615,I,3603
1615,J,3603
1615,K,3603
1615,L,3603
1615,M,3603
1615,O,3603
1615,P,3603
1615,Q,3618
1615,R,3603
1615,S,3603
1616,A,3603
1616,C,3603
1616,D,3603
1616,E,3603
1616,F,3603
1616,G,3603
1616,H,3603
1616,I,3603
1616,J,3603
1616,K,3603
1616,L,3603
1616,M,3603
1616,O,3603
1616,P,3603
1616,Q,3603
1616,R,3603
1616,S,3603
1617,A,3603
1617,B,3603
1617,C,3603
1617,D,3603
1617,E,3603
1617,F,3603
1617,G,3603
1617,H,3603
1617,I,3603
1617,J,3603
1617,K,3603
1617,L,3603
1617,M,3603
1617,O,3603
1617,P,5710
1617,Q,3603
1617,R,3618
1617,S,3603
1618,A,3602
1618,B,3603
1618,C,3603
1618,D,3603
1618,E,3603
1618,F,3617
1618,G,3603
1618,H,3603
1618,I,3603
1618,J,3603
1618,K,3603
1618,L,3603
1618,M,3603
1618,P,3603
1618,Q,3603
1618,R,3603
1618,S,3603
1619,A,3600
1619,B,3600
1619,C,3600
1619,D,3600
1619,E,3600
1619,F,3600
